URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
https://climatepub4kg.github.io/ontology#HAS_SPATIAL_RESOLUTION,HAS_SPATIAL_RESOLUTION,,Predicate,,Variable,Resolution
https://climatepub4kg.github.io/ontology#HAS_SUB_EXPERIMENT,HAS_SUB_EXPERIMENT,,Predicate,,Experiment,SubExperiment
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,SourceComponent,SourceComponent
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,SourceComponent,Source
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,Source,Source
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,Source,SourceComponent
https://climatepub4kg.github.io/ontology#IN_CONTINENT,IN_CONTINENT,,Predicate,,Country,Continent
https://climatepub4kg.github.io/ontology#IN_COUNTRY,IN_COUNTRY,,Predicate,,City,Country
https://climatepub4kg.github.io/ontology#IN_COUNTRY,IN_COUNTRY,,Predicate,,Country_Subdivision,Country
https://climatepub4kg.github.io/ontology#INCLUDES_ENSEMBLE_MEMBER,INCLUDES_ENSEMBLE_MEMBER,,Predicate,,Experiment,Ensemble
https://climatepub4kg.github.io/ontology#INCLUDES_EXPERIMENT,INCLUDES_EXPERIMENT,,Predicate,,ExperimentFamily,Experiment
https://climatepub4kg.github.io/ontology#INHERITED_FROM,INHERITED_FROM,,Predicate,,Source,Source
https://climatepub4kg.github.io/ontology#IS_OF_TYPE,IS_OF_TYPE,,Predicate,,Source,SourceType
https://climatepub4kg.github.io/ontology#METHOD_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,METHOD_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,,Predicate,,Method,ObservationalDataset
https://climatepub4kg.github.io/ontology#METHOD_HAS_INNOVATION,METHOD_HAS_INNOVATION,,Predicate,,Method,Innovation
https://climatepub4kg.github.io/ontology#METHOD_HAS_RESULT,METHOD_HAS_RESULT,,Predicate,,Method,Result
https://climatepub4kg.github.io/ontology#METHOD_SOLVES_PROBLEM,METHOD_SOLVES_PROBLEM,,Predicate,,Method,Problem
https://climatepub4kg.github.io/ontology#METHOD_USES_METRIC,METHOD_USES_METRIC,,Predicate,,Method,Metric
https://climatepub4kg.github.io/ontology#METHOD_USES_MODEL,METHOD_USES_MODEL,,Predicate,,Method,Model
https://climatepub4kg.github.io/ontology#METHOD_WORKS_ON_TASK,METHOD_WORKS_ON_TASK,,Predicate,,Method,Task
https://climatepub4kg.github.io/ontology#MODEL_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,MODEL_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,,Predicate,,Model,ObservationalDataset
https://climatepub4kg.github.io/ontology#MODEL_HAS_RESULT,MODEL_HAS_RESULT,,Predicate,,Model,Result
https://climatepub4kg.github.io/ontology#MODEL_SOLVES_PROBLEM,MODEL_SOLVES_PROBLEM,,Predicate,,Model,Problem
https://climatepub4kg.github.io/ontology#MODEL_USES_METRIC,MODEL_USES_METRIC,,Predicate,,Model,Metric
https://climatepub4kg.github.io/ontology#MODEL_WORKS_FOR_TASK,MODEL_WORKS_FOR_TASK,,Predicate,,Model,Task
https://climatepub4kg.github.io/ontology#PAPER_APPLIES_METHOD,PAPER_APPLIES_METHOD,,Predicate,,Paper,Method
https://climatepub4kg.github.io/ontology#PAPER_BELONGS_TO_FIELD,PAPER_BELONGS_TO_FIELD,,Predicate,,Paper,Field
https://climatepub4kg.github.io/ontology#PAPER_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,PAPER_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,,Predicate,,Paper,ObservationalDataset
https://climatepub4kg.github.io/ontology#PAPER_HAS_INNOVATION,PAPER_HAS_INNOVATION,,Predicate,,Paper,Innovation
https://climatepub4kg.github.io/ontology#PAPER_HAS_KEYWORD,PAPER_HAS_KEYWORD,,Predicate,,Paper,Keyword
https://climatepub4kg.github.io/ontology#PAPER_HAS_MODEL,PAPER_HAS_MODEL,,Predicate,,Paper,Model
https://climatepub4kg.github.io/ontology#PAPER_HAS_RESULT,PAPER_HAS_RESULT,,Predicate,,Paper,Result
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Teleconnection
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Weather_Event
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Water_Bodies
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Variable
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,SourceType
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,SourceComponent
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Source
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,SimulationType
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Resolution
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Realm
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Project
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Platform
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,PhysicalScheme
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,PhysicalFeature
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,No_Country_Region
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Ocean_Circulation
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Activity
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,City
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Continent
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Country_Subdivision
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Country
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Experiment
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,ExperimentFamily
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Institute
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Instrument
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Member
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Metric
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,MIPEra
https://climatepub4kg.github.io/ontology#PAPER_MENTIONS,PAPER_MENTIONS,,Predicate,,Paper,Natural_Hazard
https://climatepub4kg.github.io/ontology#PAPER_SOLVES_PROBLEM,PAPER_SOLVES_PROBLEM,,Predicate,,Paper,Problem
https://climatepub4kg.github.io/ontology#PAPER_USES_METRIC,PAPER_USES_METRIC,,Predicate,,Paper,Metric
https://climatepub4kg.github.io/ontology#PAPER_WORKS_ON_TASK,PAPER_WORKS_ON_TASK,,Predicate,,Paper,Task
https://climatepub4kg.github.io/ontology#PART_OF_ENSEMBLE,PART_OF_ENSEMBLE,,Predicate,,Source,Ensemble
https://climatepub4kg.github.io/ontology#PART_OF_PROJECT,PART_OF_PROJECT,,Predicate,,Activity,Project
https://climatepub4kg.github.io/ontology#PART_OF_PROJECT,PART_OF_PROJECT,,Predicate,,Source,Project
https://climatepub4kg.github.io/ontology#PART_OF_PROJECT,PART_OF_PROJECT,,Predicate,,Experiment,Project
https://climatepub4kg.github.io/ontology#PART_OF_PROJECT,PART_OF_PROJECT,,Predicate,,RCM,Project
https://climatepub4kg.github.io/ontology#PARTICIPATED_IN,PARTICIPATED_IN,,Predicate,,Institute,Project
https://climatepub4kg.github.io/ontology#PERFORMED_BY_INSTITUTE,PERFORMED_BY_INSTITUTE,,Predicate,,Experiment,Institute
https://climatepub4kg.github.io/ontology#PRODUCED_BY_INSTITUTE,PRODUCED_BY_INSTITUTE,,Predicate,,Source,Institute
https://climatepub4kg.github.io/ontology#PRODUCES_VARIABLE,PRODUCES_VARIABLE,,Predicate,,RCM,Variable
https://climatepub4kg.github.io/ontology#PRODUCES_VARIABLE,PRODUCES_VARIABLE,,Predicate,,Source,Variable
https://climatepub4kg.github.io/ontology#PRODUCES_VARIABLE,PRODUCES_VARIABLE,,Predicate,,SourceComponent,Variable
https://climatepub4kg.github.io/ontology#RESULT_HAS_METRIC,RESULT_HAS_METRIC,,Predicate,,Result,Metric
https://climatepub4kg.github.io/ontology#SAMPLED_AT_FREQUENCY,SAMPLED_AT_FREQUENCY,,Predicate,,Source,Frequency
https://climatepub4kg.github.io/ontology#TASK_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,TASK_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,,Predicate,,Task,ObservationalDataset
https://climatepub4kg.github.io/ontology#TASK_FACES_PROBLEM,TASK_FACES_PROBLEM,,Predicate,,Task,Problem
https://climatepub4kg.github.io/ontology#TASK_USES_METRIC,TASK_USES_METRIC,,Predicate,,Task,Metric
https://climatepub4kg.github.io/ontology#USED_IN_EXPERIMENT,USED_IN_EXPERIMENT,,Predicate,,RCM,Experiment
https://climatepub4kg.github.io/ontology#USED_IN_EXPERIMENT,USED_IN_EXPERIMENT,,Predicate,,Source,Experiment
https://climatepub4kg.github.io/ontology#USES_FORCING,USES_FORCING,,Predicate,,Experiment,Forcing
https://climatepub4kg.github.io/ontology#USES_PHYSICAL_SCHEME,USES_PHYSICAL_SCHEME,,Predicate,,Source,PhysicalScheme
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,Weather_Event,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,Teleconnection,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,SourceComponent,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,SimulationType,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,Platform,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,PhysicalFeature,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,PhysicalScheme,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,Instrument,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,Metric,
https://climatepub4kg.github.io/ontology#added_from_paper_id,added_from_paper_id,,NodeProperty,,Natural_Hazard,
