URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://release.niem.gov/niem/domains/jxdm/7.2/#BookingFacility,booking facility,A police station or a detention facility where a booking occurs.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseCharge,case charge,A charge or accusation a person is being tried for in a court of law.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseCourt,case court,A court of law in which the case is being tried.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#Court
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseDefendantParty,case defendant party,An entity being charged or sued in a court of law.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://schemas.scales-okn.org/rdf/scales#Party
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseDefenseAttorney,case defense attorney,An attorney who defends a case.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseInitiatingAttorney,case initiating attorney,"An attorney in a court case representing the party that filed a petition for a court order or writ requiring the respondent to take some action, halt an activity, or obey a court's direction.",Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseInitiatingParty,case initiating party,An entity that brings charges or a suit against another in a court of law. Can be either a victim in a criminal case or a plaintiff in a civil case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://schemas.scales-okn.org/rdf/scales#Party
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseJudge,case judge,A judicial official assigned to a case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseOfficialRoleText,case official role text,A role a justice official played in a court case.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseOfficialRoleText,case official role text,A role a justice official played in a court case.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,
