disease,doid,n_genes,genes
Down syndrome,DOID_14250,1,APOE
urticaria,DOID_1555,1,SERPING1
Klinefelter syndrome,DOID_1921,1,FGFR1
hepatitis,DOID_2237,1,C4B
human immunodeficiency virus infectious disease,DOID_526,1,HLA-B
peptic ulcer disease,DOID_750,1,ELN
sleeping sickness,DOID_10112,1,APOL1
urinary bladder cancer,DOID_11054,1,PTPRJ
uterine fibroid,DOID_13223,1,WNT2
typhoid fever,DOID_13258,1,SPI1
larynx cancer,DOID_2596,1,TGFBR2
esophageal cancer,DOID_5041,1,TGFBR2
cataract,DOID_83,1,VIM
reticulosarcoma,DOID_8538,1,TNFRSF1B
leprosy,DOID_1024,1,BBS9
iron deficiency anemia,DOID_11758,1,HAMP
motor neuron disease,DOID_231,1,LRP12
male infertility,DOID_12336,1,CCDC34
avoidant personality disorder,DOID_1509,1,KCTD17
narcissistic personality disorder,DOID_2745,1,KCTD17
