mondo_id,mondo_curie,disease_label
MONDO_0020066,MONDO:0020066,Ehlers-Danlos syndrome
MONDO_0016002,MONDO:0016002,"Ehlers-Danlos syndrome, kyphoscoliotic type 1"
MONDO_0017314,MONDO:0017314,"Ehlers-Danlos syndrome, vascular type"
MONDO_0021569,MONDO:0021569,"Emery-Dreifuss muscular dystrophy 2, autosomal dominant"
MONDO_0011724,MONDO:0011724,encephalopathy due to GLUT1 deficiency
MONDO_0017610,MONDO:0017610,epidermolysis bullosa simplex
MONDO_0007239,MONDO:0007239,epidermolytic hyperkeratosis
MONDO_0016028,MONDO:0016028,erythromelalgia
MONDO_0010526,MONDO:0010526,Fabry disease
MONDO_0007100,MONDO:0007100,familial amyloid neuropathy
MONDO_0010188,MONDO:0010188,familial isolated deficiency of vitamin E
MONDO_0000608,MONDO:0000608,familial juvenile hyperuricemic nephropathy
MONDO_0008073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1
MONDO_0009387,MONDO:0009387,familial lipoprotein lipase deficiency
MONDO_0019171,MONDO:0019171,familial long QT syndrome
MONDO_0018088,MONDO:0018088,familial Mediterranean fever
MONDO_0009297,MONDO:0009297,familial renal glucosuria
MONDO_0007606,MONDO:0007606,fibrodysplasia ossificans progressiva
MONDO_0007097,MONDO:0007097,Finnish type amyloidosis
MONDO_0100339,MONDO:0100339,Friedreich ataxia
MONDO_0017276,MONDO:0017276,frontotemporal dementia
MONDO_0005321,MONDO:0005321,Fuchs' endothelial dystrophy
MONDO_0017719,MONDO:0017719,gangliosidosis
MONDO_0011719,MONDO:0011719,gastrointestinal stromal tumor
MONDO_0018150,MONDO:0018150,Gaucher disease
MONDO_0009904,MONDO:0009904,Gitelman syndrome
MONDO_0011612,MONDO:0011612,glycine encephalopathy
MONDO_0002412,MONDO:0002412,glycogen storage disease
MONDO_0012747,MONDO:0012747,glycogen storage disease due to aldolase A deficiency
MONDO_0009292,MONDO:0009292,glycogen storage disease due to glycogen branching enzyme deficiency
MONDO_0013046,MONDO:0013046,glycogen storage disease due to muscle beta-enolase deficiency
MONDO_0009865,MONDO:0009865,glycogen storage disease due to phosphoglycerate mutase deficiency
MONDO_0002413,MONDO:0002413,glycogen storage disease I
MONDO_0009290,MONDO:0009290,glycogen storage disease II
MONDO_0009291,MONDO:0009291,glycogen storage disease III
MONDO_0010598,MONDO:0010598,glycogen storage disease IXa
MONDO_0009293,MONDO:0009293,glycogen storage disease V
MONDO_0009294,MONDO:0009294,glycogen storage disease VI
MONDO_0018149,MONDO:0018149,GM1 gangliosidosis
MONDO_0009260,MONDO:0009260,GM1 gangliosidosis type 1
MONDO_0011603,MONDO:0011603,GNE myopathy
MONDO_0021001,MONDO:0021001,hemochromatosis type 1
MONDO_0010602,MONDO:0010602,hemophilia A
MONDO_0010604,MONDO:0010604,hemophilia B
MONDO_0019623,MONDO:0019623,hereditary angioedema
MONDO_0033946,MONDO:0033946,hereditary angioedema with C1Inh deficiency
