rare_disease_name,oardkg_disease_id,prokn_disease_id,uniprot_accession,gene_symbols
muscle-eye-brain disease,MONDO:0018939,OMIM:236670,Q9Y6A1,POMT1
distal myopathy,MONDO:0018949,OMIM:600334,Q8WZ42,TTN
Niemann-Pick disease type C,MONDO:0018982,OMIM:257220,O15118,NPC1
Charcot-Marie-Tooth disease type 1,MONDO:0019011,OMIM:118200,P25189,MPZ
androgen insensitivity syndrome,MONDO:0019154,OMIM:300068,P10275,AR
pyruvate dehydrogenase deficiency,MONDO:0019169,OMIM:312170,P08559,PDHA1
hereditary hemorrhagic telangiectasia,MONDO:0019180,OMIM:187300,P17813,ENG
retinitis pigmentosa,MONDO:0019200,OMIM:612712,Q96NR8,RDH12
congenital non-bullous ichthyosiform erythroderma,MONDO:0019306,OMIM:242300,P22735,TGM1
beta thalassemia,MONDO:0019402,OMIM:613985,P68871,HBB
Zellweger spectrum disorders,MONDO:0019609,OMIM:214100,O43933,PEX1
persistent hyperplastic primary vitreous,MONDO:0019631,OMIM:221900,Q8N100,ATOH7
pseudohypoparathyroidism,MONDO:0019992,OMIM:603233,O14662,STX16
pseudohypoparathyroidism,MONDO:0019992,OMIM:603233,O95467,GNAS
pseudohypoparathyroidism,MONDO:0019992,OMIM:603233,P63092,GNAS
pseudohypoparathyroidism,MONDO:0019992,OMIM:603233,P84996,GNAS
pseudohypoparathyroidism,MONDO:0019992,OMIM:603233,Q5JWF2,GNAS
progressive myoclonus epilepsy,MONDO:0020074,OMIM:254900,Q14108,SCARB2
juvenile open angle glaucoma,MONDO:0020367,OMIM:231300,Q16678,CYP1B1
juvenile open angle glaucoma,MONDO:0020367,OMIM:231300,Q99972,MYOC
subcortical band heterotopia,MONDO:0020491,OMIM:300067,O43602,DCX
"migraine, familial hemiplegic, 1",MONDO:0020756,OMIM:141500,O00555,CACNA1A
hemochromatosis type 1,MONDO:0021001,OMIM:235200,Q30201,HFE
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",MONDO:0021569,OMIM:181350,P02545,LMNA
X-linked lymphoproliferative disease due to SH2D1A deficiency,MONDO:0024551,OMIM:308240,O60880,SH2D1A
hereditary angioedema with C1Inh deficiency,MONDO:0033946,OMIM:106100,P05155,SERPING1
migraine with brainstem aura,MONDO:0043219,OMIM:602481,P50993,ATP1A2
mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome,MONDO:0044714,OMIM:617675,Q9BUK6,MSTO1
pityriasis rubra pilaris,MONDO:0100017,OMIM:173200,Q9BXL6,CARD14
Friedreich ataxia,MONDO:0100339,OMIM:229300,Q16595,FXN
paroxysmal nonkinesigenic dyskinesia 1,MONDO:0700089,OMIM:118800,Q8N490,PNKD
